n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti,checked_isbn,isbn_type,authenticity,matched_title
A1502,Andrea Camilleri,La rettitudine fatta persona,La Repubblica,2021,-,"Giallo, Thriller, Racconti",FALSE,1360406239,ISBN-10,found-isbn-by-title,
A1503,"Queen, Dannay",L'avventura della signora barbuta,La Repubblica,2021,-,"Giallo, Thriller, Racconti",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1504,M. Vázquez Montalbán,La dea nuda,La Repubblica,2021,-,"Giallo, Thriller, Racconti",FALSE,9788863807264,ISBN-13,found-isbn-by-title,
A1505,Antonio Manzini,L'eremita,La Repubblica,2021,-,"Giallo, Thriller, Racconti",FALSE,9788835747963,ISBN-13,found-isbn-by-title,
A1506,Maurizio De Giovanni,L'omicidio Carosino,La Repubblica,2021,-,"Giallo, Thriller, Racconti",FALSE,9788897121589,ISBN-13,found-isbn-by-title,
A1507,Vincenzo Arte,Crescere senza voti,Mondadori,2023,9788804764892,"Saggistica, Pedagogia",FALSE,8804778741,ISBN-10,corrected-isbn-by-title,Argylle
A1508,John Green,Cercando Alaska,Rizzoli,2019,9788817109727,"Ragazzi, Young Adult",FALSE,0142402516,ISBN-10,corrected-isbn-by-title,Il mio viso davanti a voi
A1509,Kathleen Glasgow,E poi ci sono io,Rizzoli,2018,9788817101899,"Ragazzi, Attualità",FALSE,9788858690833,ISBN-13,corrected-isbn-by-title,Battezzeresti un extraterrestre?... e altre domande tra scienza e fede poste all'Osservatorio astronomico vaticano
A1653,Andrea Camilleri,Donne,Rizzoli,2016,9788817089456,"Narrativa, Racconti",FALSE,9788858635124,ISBN-13,found-isbn-by-title,ISBN not found in the database
A151,Paola Mastrocola,L'anno che non caddero le foglie,Guanda,2016,9788823514782,"Narrativa, Favola",FALSE,9788823515956,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1510,Harper Lee,Il buio oltre la siepe,Feltrinelli,-,9788807881558,"Narrativa, Classico",FALSE,9788807881558,ISBN-13,ok,Il buio oltre la siepe
A1511,Luigi Garlando,Presentami un sogno,HarperCollins,2021,9788869058288,"Ragazzi, Sport",FALSE,8877514671,ISBN-10,corrected-isbn-by-title,Per la mia strada. Partire e rinascere in montagna
A1512,Irene Vallejo,Il fischio dell'arciere,Bompiani,2023,9788830119420,"Narrativa, Mitologia, Storico",FALSE,9788835710691,ISBN-13,corrected-isbn-by-title,La formidabile miss Cassidy
A1513,Zerocalcare,Kobane Calling,Bao Publishing,2020,9788832734591,"Fumetti, Graphic Novel, Reportage",FALSE,9788832734591,ISBN-13,ok,Kobane calling. Oggi
A1514,Nicola Brunialti,Un nome che non è il mio,Sperling & Kupfer,2022,9788820072704,"Ragazzi, Storia, Shoah",FALSE,9788892742208,ISBN-13,corrected-isbn-by-title,Court
A1515,Sara Gambazza,Ci sono mani che odorano di buono,Longanesi,2023,9788830459380,"Narrativa, Romanzo",FALSE,9788830461086,ISBN-13,corrected-isbn-by-title,Lo spettro grigio
A1516,Patrizia Carrano,La bambina che mangiava i comunisti,Vallecchi,2022,9788882521363,"Narrativa, Romanzo",FALSE,9788825203448,ISBN-13,corrected-isbn-by-title,In nome del popolo televisivo. Da Cogne ai giorni nostri
A1517,Daniele Aristarco,Io dico no! Storie di eroica disobbedienza,Einaudi,2017,9788866563723,"Ragazzi, Storia, Attualità",FALSE,8866563927,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1518,Cosima Buccoliero,Senza sbarre,Einaudi,2022,9788806251840,"Saggistica, Attualità, Carcere",FALSE,3033086217,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1519,Minuit,Le ragazze della foresta,Edizioni EL,2021,9788847738232,"Ragazzi, Narrativa",FALSE,8847740045,ISBN-10,found-isbn-by-title,ISBN not found in the database
A152,Anton Čechov,La fidanzata e altri racconti,Newton Compton,1995,9788879839327,"Racconti, Classico",FALSE,8881111284,ISBN-10,corrected-isbn-by-title,Sequestro di persona
A1674,Andrew Lane,Young Sherlock - Trappola velenosa,De Agostini,2012,9788841873793,"Ragazzi, Giallo",FALSE,9788851121419,ISBN-13,corrected-isbn-by-title,"Astronomia. Conoscere, riconoscere e osservare gli oggetti della volta celeste, dal sistema solare ai limiti dell'universo"
A1520,Marie-Aude Murail,Flipper (Sauveur & figlio 2),Giunti,2016,9788809831513,"Ragazzi, Narrativa",FALSE,8809891414,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1521,AA. VV.,Donne al futuro,Il Mulino,2021,9788815291882,"Saggistica, Attualità",FALSE,8815291210,ISBN-10,corrected-isbn-by-title,Amori oggi
A1522,Cosima Buccoliero,Senza sbarre,Einaudi,2022,9788806251840,"Saggistica, Attualità, Carcere",FALSE,3033086217,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1523,Farhad Bitani,L'ultimo lenzuolo bianco,Neri Pozza,2020,9788854520332,"Saggistica, Biografia, Attualità",FALSE,9788854521995,ISBN-13,corrected-isbn-by-title,L'età incerta
A1524,Niccolò Ammaniti,Io non ho paura,Einaudi,2001,9788806142100,"Narrativa, Romanzo",FALSE,9788806142100,ISBN-13,ok,Io non ho paura
A1525,Evelyn Waugh,A Handful of Dust,Penguin Books,-,9780141183664,"Narrativa, Satira (Inglese)",FALSE,9780316216289,ISBN-13,corrected-isbn-by-title,The Complete Short Novels
A1526,David Thomson,England in the Nineteenth Century,Penguin Books,-,-,"Saggistica, Storia (Inglese)",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1527,Graham Greene,The Honorary Consul,Penguin Books,-,-,"Narrativa, Romanzo (Inglese)",FALSE,9781409017523,ISBN-13,found-isbn-by-title,
A1528,AA. VV.,Le Mille e una notte (Vol. 1-2),Corriere della Sera,-,-,"Classico, Favola",FALSE,9788893214896,ISBN-13,found-isbn-by-title,
A1529,"Mentana, Segre",La memoria rende liberi,Rizzoli,2015,9788817083072,"Saggistica, Memorie, Shoah",FALSE,881708400X,ISBN-10,corrected-isbn-by-title,Infinita commedia
A1679,Seneca,La vera gioia,Newton Compton,1995,9788881832101,"Filosofia, Classico",FALSE,9791280428431,ISBN-13,corrected-isbn-by-title,Vita di un perdigiorno
A153,Marco Malvaldi,L'infinito tra parentesi,Rizzoli,2016,9788817087643,"Saggistica, Scienza",FALSE,9788858683569,ISBN-13,corrected-isbn-by-title,Il Turista
A1530,Luis Sepúlveda,Il vecchio che leggeva romanzi d'amore,Guanda,1989,9788882460235,"Narrativa, Romanzo",FALSE,888246752X,ISBN-10,corrected-isbn-by-title,Poesie esoteriche. Testo originale a fronte
A1531,Luis Sepúlveda,Storia di una gabbianella...,Salani,1998,9788877826060,"Ragazzi, Favola",FALSE,9782808690546,ISBN-13,corrected-isbn-by-title,Lektro
A1532,Chuck Palahniuk,Invisible Monsters,Mondadori,2012,9788804616238,"Narrativa, Romanzo",FALSE,8804685379,ISBN-10,corrected-isbn-by-title,Venti racconti allegri e uno triste
A1533,Alberto Moravia,Gli indifferenti,Bompiani,1962,-,"Narrativa, Classico",FALSE,8845259633,ISBN-10,found-isbn-by-title,
A1534,Oscar Wilde,Detti e aforismi,Rizzoli,1999,9788817154215,"Miscellanea, Aforismi",FALSE,9788858652596,ISBN-13,corrected-isbn-by-title,I delitti della gazza ladra
A1535,Kahlil Gibran,Il profeta,Feltrinelli,2010,9788807881954,"Poesia, Spiritualità, Classico",FALSE,9788862777001,ISBN-13,corrected-isbn-by-title,Psicomagia. Una terapia panica
A1536,Bianca Pitzorno,La bambina col falcone,Salani,1992,9788877822451,"Ragazzi, Romanzo Storico",FALSE,9788862564052,ISBN-13,corrected-isbn-by-title,Pancreas
A1537,Dino Buzzati,La famosa invasione degli orsi di Sicilia,Mondadori,1992,9788824700879,"Ragazzi, Classico, Favola",FALSE,880443676X,ISBN-10,found-isbn-by-title,
A1538,Robert Harris,Pompei,Mondadori,2003,9788804512210,"Romanzo Storico, Thriller",FALSE,9788835378662,ISBN-13,found-isbn-by-title,
A1539,Andrea Camilleri,La mossa del cavallo,Rizzoli,1999,9788817061738,"Romanzo Storico, Giallo",FALSE,9788829706747,ISBN-13,found-isbn-by-title,
A154,Luigi Pirandello,Donna Mimma,Newton Compton,1995,9788879838924,"Racconti, Classico",FALSE,1520788533,ISBN-10,corrected-isbn-by-title,Le chiese medievali di Roma
A1599,"Tiffany, Thorne",Harry Potter e la maledizione dell'erede,Salani,2016,9788869187490,"Teatro, Fantasy",FALSE,9788869187490,ISBN-13,ok,HARRY POTTER E LA MALEDIZIONE DELL'EREDE.
A1540,Robert Ludlum,Il Patto,Club degli Editori,1979,-,"Thriller, Spionaggio",FALSE,9788858626214,ISBN-13,found-isbn-by-title,
A1541,Jules Verne,I guai di un cinese in Cina,San Paolo,-,9788821516244,"Avventura, Classico",FALSE,9788856862027,ISBN-13,found-isbn-by-title,
A1542,Alexandre Dumas,Il conte di Montecristo,Malipiero Editore,-,9788870072890,"Avventura, Classico, Storico",FALSE,9788868651602,ISBN-13,found-isbn-by-title,
A1543,Charles Dickens,Oliver Twist,Aurora Editore,-,9788886076240,"Narrativa, Classico",FALSE,9788899941949,ISBN-13,found-isbn-by-title,
A1544,Arthur Conan Doyle,Il mastino di Baskerville,Mondadori,-,9788804581452,"Giallo, Classico",FALSE,9788851156572,ISBN-13,found-isbn-by-title,
A1545,F. Scott Fitzgerald,Il grande Gatsby,Mondadori,-,9788804604923,"Narrativa, Classico",FALSE,9788811018384,ISBN-13,found-isbn-by-title,
A1546,William Golding,Il Signore delle Mosche,Mondadori,-,9788804675718,"Narrativa, Classico, Distopico",FALSE,9782808690096,ISBN-13,found-isbn-by-title,
A1547,Giovanni Falcone,Cose di Cosa Nostra,Fabbri Editori,-,9788845133663,"Saggistica, True crime, Attualità",FALSE,9788858602058,ISBN-13,found-isbn-by-title,
A1548,Jack London,Il richiamo della foresta,Mondadori,-,9788804480556,"Avventura, Classico",FALSE,9788804480556,ISBN-13,ok,Il richiamo della foresta
A1549,S. Sebag Montefiore,I discorsi che hanno cambiato il mondo,Edizioni White Star,-,9788854005401,"Saggistica, Storia",FALSE,9788854018242,ISBN-13,found-isbn-by-title,
A155,Natalia Ginzburg,Lessico famigliare,Mondadori,1974,9788806037896,"Narrativa, Classico, Memorie",TRUE,9788806203054,ISBN-13,found-isbn-by-title,
A155,Andrea Vitali,La modista,Garzanti,2008,9788811686613,"Narrativa, Romanzo",TRUE,9788811130635,ISBN-13,corrected-isbn-by-title,Il linguaggio segreto dei fiori
A1550,Louisa May Alcott,Piccole donne,Bompiani,-,9788845214041,"Ragazzi, Classico, Formazione",FALSE,9788818033595,ISBN-13,found-isbn-by-title,
A1551,Louisa May Alcott,Piccole donne crescono,Aurora Editore,-,9788886076189,"Ragazzi, Classico, Sentimentale",FALSE,9788851125493,ISBN-13,found-isbn-by-title,
A1552,Louisa May Alcott,I ragazzi di Jo,Fratelli Melita Editori,-,9788840360705,"Ragazzi, Classico, Formazione",FALSE,8847735297,ISBN-10,found-isbn-by-title,
A1662,Giovanni Verga,Dal tuo al mio,Newton Compton,1995,9788879839358,"Narrativa, Classico",FALSE,8868574217,ISBN-10,corrected-isbn-by-title,Manuale dei tarocchi
A156,Silvia Avallone,Acciaio,Rizzoli,2010,9788817037631,"Narrativa, Romanzo, Attualità",FALSE,9788817037631,ISBN-13,ok,Acciaio
A157,Alberto Bertuzzi,La costituzione comoda,Rizzoli,1981,-,"Saggistica, Politica",FALSE,9788858044865,ISBN-13,found-isbn-by-title,
A1680,Markus Zusak,Storia di una ladra di libri,Sperling & Kupfer,2015,9788868360665,"Romanzo Storico, Ragazzi",FALSE,9788820094133,ISBN-13,corrected-isbn-by-title,La signora in giallo. Omicidio sul ghiaccio
A1678,Sandra Frattini,Le orchidee del Monte Vallassa,Guardamagna,2016,9788895193557,"Saggistica, Natura, Botanica",FALSE,889883232X,ISBN-10,corrected-isbn-by-title,Fideles servitores nostri ebrei in civitate Papie
A158,John Grisham,Theodore Boone - La ragazza...,Mondadori,2011,9788804611561,"Ragazzi, Giallo",FALSE,8804626194,ISBN-10,corrected-isbn-by-title,One big union
A159,Nick Hornby,Alta fedeltà,Guanda,1995,9788877468338,"Narrativa, Romanzo",FALSE,9788860882592,ISBN-13,corrected-isbn-by-title,Polemiche. Interviste (1945-1961)
A1598,Guido Sgardoli,O sei dentro o sei fuori,Edizioni EL,2010,9788847726352,"Ragazzi, Narrativa",FALSE,9781613728840,ISBN-13,corrected-isbn-by-title,La nostra prima volta
A160,Isabel Allende,La casa degli spiriti,Feltrinelli,1987,9788807810015,"Narrativa, Realismo Magico, Classico",FALSE,8807070626,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1650,Francesca Longo,Come ti sequestro la prof,Edizioni EL,2010,9788847726321,"Ragazzi, Umorismo",FALSE,8847723183,ISBN-10,corrected-isbn-by-title,Rosina Agnellina
A1649,Christian Jacq,Il romanzo di Ramses,Mondadori,1997,9788804433720,"Romanzo Storico, Avventura",FALSE,9788867023288,ISBN-13,found-isbn-by-title,
A161,Christian Jacq,Il romanzo di Ramses,Mondadori,1997,9788804433767,"Romanzo Storico, Avventura",FALSE,9788804433767,ISBN-13,title-mismatch,Le strade dell'innocenza
A1646,Jostein Gaarder,Il mondo di Anna,Longanesi,2013,9788830436152,"Ragazzi, Narrativa, Ecologia",FALSE,9788830440487,ISBN-13,corrected-isbn-by-title,Il tesoro degli abissi
A162,Giorgio Amendola,Una scelta di vita,Rizzoli,1976,9788817123303,"Saggistica, Biografia, Politica",FALSE,9788817123303,ISBN-13,not-found (No valid ISBN found in title results),ISBN not found in the database
A1591,Federico Moccia,Tre metri sopra il cielo,Mondadori,2005,9788804545804,"Narrativa, Rosa, Young Adult",FALSE,9788858829943,ISBN-13,corrected-isbn-by-title,Il ritorno del Cantore. Il vento di fuoco
A163,Patricia Cornwell,Oggetti di reato,Mondadori,1992,9788804358896,"Giallo, Thriller",TRUE,9788852027789,ISBN-13,found-isbn-by-title,
A163,Paola Zannoner,Sopra l'acqua sotto il cielo,Mondadori,2007,9788804573159,"Ragazzi, Narrativa",TRUE,9788852051197,ISBN-13,corrected-isbn-by-title,Le prigioni di Hitler. Il sistema carcerario del Terzo Reich
A1681,Luigi Pirandello,Amori senza amore,Newton Compton,1995,9788881831814,"Racconti, Classico",FALSE,8804403225,ISBN-10,corrected-isbn-by-title,La repubblica di Salò
A164,"Ossorio, Zoungrana",Se entri nel cerchio sei libero,Mondadori,2010,9788804598466,"Ragazzi, Formazione",FALSE,9788858654101,ISBN-13,found-isbn-by-title,ISBN not found in the database
A165,Apuleio,La favola di Amore e Psiche,Newton Compton,1995,9788879833660,"Classico, Mitologia",TRUE,8882657213,ISBN-10,corrected-isbn-by-title,Il segno rosso del coraggio
A165,Marie-Aude Murail,Cécile. Il futuro è per tutti,Giunti,2010,9788809742611,"Ragazzi, Narrativa",TRUE,9788809772755,ISBN-13,corrected-isbn-by-title,Gatto bianco gatto blu. Per la 4a classe elementare
A166,Luigi Pirandello,Un matrimonio ideale...,Newton Compton,1995,9788879838894,"Racconti, Classico",FALSE,8818028448,ISBN-10,corrected-isbn-by-title,Le favole
A166M,Angela Nanetti,Morte a Garibaldi,Giunti,2011,9788809768000,"Ragazzi, Romanzo Storico",FALSE,8809767586,ISBN-10,corrected-isbn-by-title,Pasta. Le migliori ricette. 50 schede illustrate
A1656,Italo Svevo,Il mio ozio e altri racconti,Newton Compton,1995,9788879839365,"Racconti, Classico",FALSE,8818025864,ISBN-10,corrected-isbn-by-title,Breve storia di Milano
A167,Fernando Corbalan,La sezione aurea,RBA,2011,9788447377039,"Saggistica, Matematica",FALSE,9788892643543,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1660,Platone,Simposio,Rizzoli,2016,9788817100410,"Filosofia, Classico",FALSE,9788858124369,ISBN-13,corrected-isbn-by-title,Dalla parte dei bambini. Per difendere i nostri figli dalla violenza
A168,Timothy Lewis,Solo una volta nella vita,Giunti,2013,9788809778269,"Narrativa, Romanzo",FALSE,9788885692145,ISBN-13,corrected-isbn-by-title,"Lovecake. Le migliori ricette di cupcake, muffin e dolcetti. Con gadget"
A1668,Daphne du Maurier,A Venezia... un dicembre rosso,Rizzoli,1980,9788817166166,"Racconti, Thriller, Classico",FALSE,9788831734042,ISBN-13,found-isbn-by-title,
A169,Paul Bakolo Ngoi,Colpo di testa,Rizzoli,2010,9788817038164,"Ragazzi, Sport",FALSE,888212939X,ISBN-10,corrected-isbn-by-title,Tentativi di volo
A170,Doriana Martini,Prigionieri di noi stessi,Graus Editore,2015,9788883464874,"Saggistica, Psicologia",FALSE,8882341755,ISBN-10,corrected-isbn-by-title,Cuore di drago
A1654,Paulo Coelho,Lo Zahir,Corriere della Sera,2005,9788845233968,"Narrativa, Romanzo",FALSE,9788893443531,ISBN-13,corrected-isbn-by-title,Sulla verità. Testo latino a fronte
A171,Edmond Rostand,Cirano di Bergerac,Newton Compton,1993,9788879830508,"Teatro, Classico",TRUE,9788852088513,ISBN-13,corrected-isbn-by-title,Romanzi del mare
A171,Susanna Tamaro,Ascolta la mia voce,Corriere della Sera,2006,9788817012904,"Narrativa, Romanzo",TRUE,9788858612903,ISBN-13,corrected-isbn-by-title,"Come nasce un'idea. Intelligenza, creatività, genio nell'era della distruzione"
A172,Aleksandr Solženicyn,Una giornata di Ivàn Denìsovič,Newton Compton,1993,9788879831512,"Romanzo Storico, Classico",FALSE,9788858416396,ISBN-13,corrected-isbn-by-title,La porta dalle sette chiavi
A1667,Giorgio Faletti,Fuori da un evidente destino,Baldini+Castoldi,2006,9788860730121,"Giallo, Thriller",FALSE,9788834606636,ISBN-13,corrected-isbn-by-title,Tutte le strisce dei Peanuts. Anni 80-90: Il grande libro dei Peanuts. Tutte le strisce degli anni 80-Il grande libro dei Peanuts. Tutte le strisce degli anni 90
A173,Torey L. Hayden,La foresta dei girasoli,TEA,2011,9788850225132,"Narrativa, Drammatico",FALSE,8850224486,ISBN-10,corrected-isbn-by-title,Romancing Miss Brontë
A1666,Giorgio Faletti,Niente di vero tranne gli occhi,Baldini+Castoldi,2004,9788884906006,"Giallo, Thriller",FALSE,9788834606612,ISBN-13,found-isbn-by-title,
A174,AA. VV.,Incontri nell'aula 18,Libreria Ticinum Editore,2016,9788890479366,"Narrativa, Racconti",TRUE,8899574081,ISBN-10,corrected-isbn-by-title,"Sibylla of Altavilla. Countess of Conversano, Duchess of Noramndy"
A174,Jenny Lawson,Facciamo finta di niente,Sperling & Kupfer,2016,9788820060930,"Saggistica, Umorismo, Memorie",TRUE,9788820095444,ISBN-13,corrected-isbn-by-title,Isis S.p.a.
A175,Giorgio Amendola,Un'isola,Rizzoli,1982,9788817123181,"Saggistica, Biografia, Politica",TRUE,8807103354,ISBN-10,corrected-isbn-by-title,Demetrio Pianelli
A175,G. C. Giacobbe,Come smettere di farsi le seghe...,Ponte alle grazie,2003,9788879286466,"Saggistica, Psicologia, Umorismo",TRUE,9788862207737,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1617,Dario Sabbatucci,"Tarquinia, la pittura etrusca",De Agostini,-,-,"Saggistica, Arte, Storia",FALSE,8841553022,ISBN-10,found-isbn-by-title,
A176,Roberto Perrone,Banana football Club,Rizzoli,2012,9788817056069,"Narrativa, Sport",FALSE,8845111687,ISBN-10,corrected-isbn-by-title,Il dio della guerra
A177,Jerry Spinelli,Per sempre Stargirl,Mondadori,2012,9788804620075,"Ragazzi, Narrativa",FALSE,9788852022968,ISBN-13,corrected-isbn-by-title,Il sosia
A1619,Karen Blixen,La mia Africa,Feltrinelli,1992,9788807810329,"Narrativa, Memorie, Classico",FALSE,9788858827161,ISBN-13,corrected-isbn-by-title,Boccalone
A1597,John N. Wilford,L'enigma dei dinosauri,Mondadori,1994,9788804391626,"Saggistica, Paleontologia",FALSE,9788841884997,ISBN-13,found-isbn-by-title,
A178,Giuseppe Culicchia,Un'estate al mare,Garzanti,2007,9788811685817,"Narrativa, Romanzo",FALSE,9788835718819,ISBN-13,found-isbn-by-title,
A1691,Steven Weinberg,I primi tre minuti,Mondadori,1994,9788804388480,"Saggistica, Scienza",FALSE,9788835732105,ISBN-13,found-isbn-by-title,
A179,Nicholas Sparks,Le parole che non ti ho detto,Frassinelli,1998,9788876845344,"Narrativa, Rosa",FALSE,9788860615794,ISBN-13,found-isbn-by-title,
A180,Sinesio,Elogio della calvizie,Newton Compton,1995,9788879838382,"Saggistica, Filosofia, Classico",FALSE,8877683236,ISBN-10,corrected-isbn-by-title,Storia del movimento psicoanalitico e l'interesse per la psicoanalisi
A1590,Federico Moccia,Ho voglia di te,Feltrinelli,2006,8022264753555,"Narrativa, Rosa, Young Adult",FALSE,8807701707,ISBN-10,found-isbn-by-title,ISBN not found in the database
A1593,Jack London,Zanna Bianca,Bompiani,1980,9788809033870,"Ragazzi, Avventura, Classico",FALSE,9788834736531,ISBN-13,corrected-isbn-by-title,L'abbazia di Northanger
A1588,Jack London,Zanna Bianca,Giunti,2004,9788809033870,"Ragazzi, Avventura, Classico",FALSE,9788834736531,ISBN-13,corrected-isbn-by-title,L'abbazia di Northanger
A1589,Jack London,Zanna Bianca,Giunti,2004,9788809033870,"Ragazzi, Avventura, Classico",FALSE,9788834736531,ISBN-13,corrected-isbn-by-title,L'abbazia di Northanger
A181,Nicholas Sparks,Quando ho aperto gli occhi,Frassinelli,2003,9788876847591,"Narrativa, Rosa",FALSE,9788860615923,ISBN-13,found-isbn-by-title,
A1606,Gerhard Konzelmann,Maometto,Bompiani,1991,9788845217431,"Saggistica, Biografia, Religione",FALSE,8886639260,ISBN-10,found-isbn-by-title,
A182,Paolo Mosca,Il nuovo senso della vita,Sperling & Kupfer,2003,9788820035074,"Saggistica, Spiritualità",FALSE,9788866777809,ISBN-13,found-isbn-by-title,
A1607,Enzo Biagi,Lettera d'amore a una ragazza di una volta,Rizzoli,2003,9788817872655,"Saggistica, Memorie",FALSE,9788855228671,ISBN-13,found-isbn-by-title,
A183,Andrew Lane,Young Sherlock Holmes,De Agostini,2014,9788851121852,"Ragazzi, Giallo",FALSE,9788851139636,ISBN-13,found-isbn-by-title,
A184,Albert Einstein,Lo spazio è una questione di tempo,RBA,2014,9788447376483,"Saggistica, Fisica",FALSE,9788858682760,ISBN-13,corrected-isbn-by-title,"Dalton, la teoría atómica"
A1587,Haruki Murakami,Norwegian Wood,Einaudi,1987,9788806216467,"Narrativa, Romanzo",FALSE,9788806216467,ISBN-13,ok,Norwegian wood. Tokyo blues
A1596,John le Carré,Il canto della missione,Mondadori,2006,9788804550978,"Giallo, Thriller, Spionaggio",FALSE,9788852066542,ISBN-13,found-isbn-by-title,
A185,Enti Autori,Italiane Vol III - dizionario biografico,-,2004,-,"Saggistica, Biografia",FALSE,,invalid,not-found (No valid ISBN found in title results),
A1595,Ellis Peters,Un cadavere di troppo,TEA,1990,9788878191630,"Giallo, Storico",FALSE,9788850257287,ISBN-13,found-isbn-by-title,
A186,Charles Dickens,Le campane,Newton Compton,1993,9788879830577,"Narrativa, Classico",FALSE,9788854145870,ISBN-13,corrected-isbn-by-title,Hermann Lauscher
A1610,Luigi Pirandello,Sei personaggi in cerca d'autore,Newton Compton,1993,9788879830583,"Teatro, Classico",FALSE,9788898403066,ISBN-13,found-isbn-by-title,
A187,Vamba,Il giornalino di Gian Burrasca,De Agostini,2009,9788841856642,"Ragazzi, Classico, Umorismo",FALSE,9788854128484,ISBN-13,corrected-isbn-by-title,Abruzzo
A1605,Gabriel García Márquez,Cronaca di una morte annunciata,Mondadori,1981,9788804213193,"Narrativa, Classico",FALSE,9782808690935,ISBN-13,found-isbn-by-title,
A188,Victor Hugo,L'ultimo giorno di un condannato...,Newton Compton,1993,9788879832793,"Narrativa, Classico",FALSE,9788868161460,ISBN-13,corrected-isbn-by-title,"Roma di ieri, Roma di oggi"
A1594,Robert Louis Stevenson,Lo strano caso del Dr. Jekyll e Mr. Hyde,Newton Compton,1992,9788879830170,"Narrativa, Classico, Horror",FALSE,9788868651985,ISBN-13,found-isbn-by-title,
A189,Conor Grennan,Sette fiori di senape,Piemme,2011,9788856616421,"Narrativa, Memorie, Viaggi",FALSE,9788856611885,ISBN-13,found-isbn-by-title,
A190,Antonio Forcellino,1545,Laterza,2008,9788842085934,"Saggistica, Storia, Arte",TRUE,110498637X,ISBN-10,found-isbn-by-title,
A190,Charles Dickens,Le avventure di Oliver Twist,Mondadori,2015,9788804655611,"Narrativa, Classico",TRUE,9788899941949,ISBN-13,found-isbn-by-title,
A191,Giuseppe Sicheri,Vino è salute,Saviolo Edizioni,2008,9788895122112,"Saggistica, Enogastronomia",FALSE,8854826022,ISBN-10,found-isbn-by-title,
A1618,Margherita Oggero,Amen,Effatà,2014,9788874029419,"Saggistica, Religione",FALSE,9788874029273,ISBN-13,corrected-isbn-by-title,Sala della comunità e Chiesa
A192,Luca Nascimbene,Il ragazzo che cantava poesie d'amore,Youcanprint,2017,9788892647786,"Poesia, Amore",TRUE,9788852067822,ISBN-13,found-isbn-by-title,
A192,Giancarlo Galli,Gli Agnelli,Mondadori,1997,9788804429814,"Saggistica, Biografia, Economia",TRUE,9788882620998,ISBN-13,corrected-isbn-by-title,L'ultimo re d'Irlanda
A1672,Ken Follett,L'uomo di Pietroburgo,Mondadori,1982,9788804245637,"Giallo, Thriller, Storico",FALSE,9788852031175,ISBN-13,found-isbn-by-title,
A1601,Giorgio Rochat,Le guerre italiane 1935- 1943,Einaudi,2005,9788806177974,"Saggistica, Storia, Militaria",FALSE,8806270826,ISBN-10,found-isbn-by-title,
A193,Gian Luca Favetto,Un'eterna solitudine,Effatà,2012,9788874027477,"Saggistica, Spiritualità",FALSE,9788807104657,ISBN-13,found-isbn-by-title,ISBN not found in the database
A1676,Ken Follett,Il terzo gemello,Mondadori,1997,9788804423851,"Giallo, Thriller",FALSE,9788852013720,ISBN-13,found-isbn-by-title,
A194,Elena Loewenthal,Un'annunciazione,Effatà,2014,9788874029310,"Saggistica, Religione",FALSE,9788874029440,ISBN-13,corrected-isbn-by-title,Milena la terribile ragazza di Praga
A195,Don Antonio Mazzi,Pinocchio e i suoi fratelli,Piemme,1995,9788838424266,"Saggistica, Attualità",FALSE,8838419973,ISBN-10,found-isbn-by-title,
A1616,Mario Dal Bello,Caravaggio,Effatà,2007,9788874023400,"Saggistica, Arte",FALSE,9788891216182,ISBN-13,corrected-isbn-by-title,Cristiani oggi
A196,Sigmund Freud,L'interpretazione dei sogni,Rusconi,2016,9788818031389,"Saggistica, Psicologia, Classico",FALSE,9788833971650,ISBN-13,found-isbn-by-title,
A1585,Silvana De Mari,Giuseppe figlio di Giacobbe,Effatà,2014,9788874029297,"Ragazzi, Religione",FALSE,9788874029297,ISBN-13,ok,Giuseppe figlio di Giacobbe
A197,Amy Hempel,Ragioni di vivere,Serra e Riva Editori,1986,9788877980075,"Narrativa, Racconti",FALSE,9788852025631,ISBN-13,found-isbn-by-title,
A1675,Alessandro Gisotti,11 settembre. Una storia che continua,Effatà,2011,9788874027170,"Saggistica, Storia, Attualità",FALSE,9788874027118,ISBN-13,corrected-isbn-by-title,Appunti per la vita
A1584,Federico Moccia,Tre metri sopra il cielo,Feltrinelli,2005,9788807840395,"Narrativa, Rosa, Young Adult",FALSE,9788807840395,ISBN-13,ok,Tre metri sopra il cielo
A198,Stephen King,Misery,Sperling & Kupfer,2015,9788868362706,"Horror, Thriller",FALSE,9788490326169,ISBN-13,corrected-isbn-by-title,La torre nera. La torre nera
A1583,Friedrich Nietzsche,Così parlò Zarathustra,Mondadori,2016,9788804672197,"Filosofia, Classico",FALSE,9783689383848,ISBN-13,found-isbn-by-title,ISBN not found in the database
